from,to,time (ms),mem (kb),order_min,order_max,order_median,size_min,size_max,size_median,density_min,density_max,density_median
19502,19512,25840,2398432,36,104,70.0,156,156,156.0,0.02912621359223301,0.24761904761904763,0.1383726306056403
19512,19522,30340,2426496,104,104,104.0,156,156,156.0,0.02912621359223301,0.02912621359223301,0.02912621359223301
19522,19532,28800,2420960,26,106,104.0,156,159,156.0,0.02857142857142857,0.48,0.02912621359223301
19532,19542,31340,2433504,106,106,106.0,159,159,159.0,0.02857142857142857,0.02857142857142857,0.02857142857142857
19542,19552,23660,2387168,20,97,40.0,160,160,160.0,0.03436426116838488,0.8421052631578947,0.20512820512820512
19552,19562,29180,2430432,27,108,108.0,161,162,162.0,0.028037383177570093,0.46153846153846156,0.028037383177570093
19562,19572,31240,2448864,108,108,108.0,162,162,162.0,0.028037383177570093,0.028037383177570093,0.028037383177570093
19572,19582,31050,2447584,108,108,108.0,162,162,162.0,0.028037383177570093,0.028037383177570093,0.028037383177570093
19582,19592,31900,2445792,108,108,108.0,162,162,162.0,0.028037383177570093,0.028037383177570093,0.028037383177570093
19592,19602,29640,2444512,41,110,108.0,162,165,162.0,0.027522935779816515,0.2,0.028037383177570093
19602,19612,30760,2467552,33,132,110.0,165,165,165.0,0.019083969465648856,0.3125,0.027522935779816515
19612,19622,32260,2453984,110,110,110.0,165,165,165.0,0.027522935779816515,0.027522935779816515,0.027522935779816515
19622,19632,27730,2440672,28,112,57.5,165,168,168.0,0.02702702702702703,0.4444444444444444,0.10989010989010989
19632,19642,32080,2462688,24,112,112.0,168,168,168.0,0.02702702702702703,0.6086956521739131,0.02702702702702703
19642,19652,32390,2465504,112,112,112.0,168,168,168.0,0.02702702702702703,0.02702702702702703,0.02702702702702703
19652,19662,32610,2462176,112,112,112.0,168,168,168.0,0.02702702702702703,0.02702702702702703,0.02702702702702703
19662,19672,29260,2450912,24,112,112.0,168,168,168.0,0.02702702702702703,0.6086956521739131,0.02702702702702703
19672,19682,25660,2427364,19,114,31.0,168,171,169.5,0.02654867256637168,1.0,0.3737373737373737
19682,19692,32670,2474208,114,114,114.0,171,171,171.0,0.02654867256637168,0.02654867256637168,0.02654867256637168
19692,19702,32730,2479124,38,126,114.0,171,174,171.0,0.022095238095238095,0.24324324324324326,0.02654867256637168
19702,19712,34010,2480864,116,116,116.0,174,174,174.0,0.02608695652173913,0.02608695652173913,0.02608695652173913
19712,19722,33030,2496224,32,176,116.0,174,176,174.0,0.011363636363636364,0.3548387096774194,0.02608695652173913
19722,19732,34450,2497248,118,118,118.0,177,177,177.0,0.02564102564102564,0.02564102564102564,0.02564102564102564
19732,19742,35320,2504928,118,120,120.0,177,180,180.0,0.025210084033613446,0.02564102564102564,0.025210084033613446
